id_pedido,dt_pedido,fl_ketchup,desc_uf,txt_recado
236,2023-05-17T13:24:11.000+0000,TRUE,RN,Mostarda também!
237,2023-05-17T14:55:07.000+0000,TRUE,PE,null
238,2023-05-17T15:17:13.000+0000,FALSE,SP,null
239,2023-05-17T16:30:18.000+0000,FALSE,PE,null
240,2023-05-17T16:34:30.000+0000,FALSE,PE,null
241,2023-05-17T17:13:52.000+0000,TRUE,SP,Cadê as opções de Pizza Vegan? cadê o manjericão?
242,2023-05-17T17:23:19.000+0000,FALSE,SP,null
243,2023-05-17T19:55:59.000+0000,TRUE,RJ,Não.
244,2023-05-17T20:52:27.000+0000,TRUE,SP,null
245,2023-05-17T21:55:17.000+0000,TRUE,ES,null
246,2023-05-18T01:33:54.000+0000,TRUE,SP,#VAAAAAI
247,2023-05-18T08:32:06.000+0000,TRUE,CE,favor enviar o maionese e ketchup
248,2023-05-18T08:32:43.000+0000,FALSE,PB,null
249,2023-05-18T09:27:47.000+0000,FALSE,RS,null
250,2023-05-18T09:36:49.000+0000,FALSE,RS,null
251,2023-05-18T09:38:39.000+0000,TRUE,RS,null
252,2023-05-18T10:01:51.000+0000,TRUE,SP,null
253,2023-05-18T10:16:54.000+0000,TRUE,RO,Capricha na borda
254,2023-05-18T12:04:37.000+0000,FALSE,RS,null
255,2023-05-18T12:14:16.000+0000,FALSE,SP,null
256,2023-05-18T12:53:42.000+0000,TRUE,GO,null
257,2023-05-18T13:42:10.000+0000,TRUE,SP,Confio na tua habilidade.
258,2023-05-18T13:50:46.000+0000,TRUE,SP,null
259,2023-05-18T13:58:08.000+0000,TRUE,SP,Por que não inovar e começar usar borda de chocolate na pizza salgada? Rs
260,2023-05-18T15:27:07.000+0000,FALSE,DF,Capricha !!!
261,2023-05-18T16:29:25.000+0000,FALSE,SC,null
262,2023-05-18T16:42:53.000+0000,FALSE,PE,null
263,2023-05-18T17:08:57.000+0000,FALSE,AL,null
264,2023-05-18T18:46:16.000+0000,FALSE,PE,null
265,2023-05-19T00:13:57.000+0000,FALSE,PI,Nao economiza no cheddar
266,2023-05-19T07:52:38.000+0000,FALSE,SP,null
267,2023-05-19T08:05:39.000+0000,TRUE,BA,null
268,2023-05-19T09:29:44.000+0000,FALSE,RJ,null
269,2023-05-19T10:26:01.000+0000,TRUE,SE,Capricha no queijo de Cabra por favor!
270,2023-05-19T10:30:40.000+0000,FALSE,RJ,null
271,2023-05-19T11:52:47.000+0000,TRUE,SP,null
272,2023-05-19T11:59:32.000+0000,FALSE,SP,Capricha
273,2023-05-19T12:47:32.000+0000,FALSE,SP,pizza grande por favor
274,2023-05-19T12:51:49.000+0000,FALSE,MG,null
275,2023-05-19T14:46:43.000+0000,FALSE,SP,null
276,2023-05-19T15:29:09.000+0000,TRUE,SP,null
277,2023-05-19T15:40:39.000+0000,TRUE,MA,null
278,2023-05-19T15:43:14.000+0000,FALSE,BA,null
279,2023-05-19T16:13:34.000+0000,TRUE,PR,null
280,2023-05-19T17:15:45.000+0000,FALSE,SP,Muito obrigado pelo seu esforço em nos passar conteúdo gratuito.
281,2023-05-19T17:39:30.000+0000,TRUE,GO,Vcs são feras!
282,2023-05-19T20:05:18.000+0000,FALSE,BA,null
283,2023-05-19T22:29:00.000+0000,FALSE,SP,Massa fina!
284,2023-05-19T22:47:16.000+0000,TRUE,SP,Capricha na pimenta! Tks
285,2023-05-20T00:18:29.000+0000,FALSE,TO,null
286,2023-05-20T06:10:55.000+0000,FALSE,PE,null
287,2023-05-20T13:52:47.000+0000,FALSE,MG,null
288,2023-05-20T15:30:36.000+0000,FALSE,SP,Já acompanho ambos nas redes sociais. Parabéns pelo trabalho dos dois. Muito obrigado pelo workshop gratuito!
289,2023-05-20T18:28:57.000+0000,TRUE,PR,null
290,2023-05-20T21:43:04.000+0000,FALSE,SP,Capricha no recheio aê
291,2023-05-21T08:12:38.000+0000,TRUE,MG,null
292,2023-05-21T15:29:35.000+0000,FALSE,RN,null
